,age_of_driver,gender,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,living_status,zip_code,claim_date,claim_day_of_week,accident_site,past_num_of_claims,witness_present_ind,liab_prct,channel,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,vehicle_weight
14268,34,M,1.0,96,81922,0,1,Rent,80022,3/3/2016,Thursday,Highway,5,0.0,4,Phone,0,8891.92,1,Large,101047.81620082771,blue,32090.77629
11577,41,M,1.0,68,30601,0,0,Own,50003,4/19/2015,Sunday,Highway,7,0.0,23,Phone,1,0.0,1,Compact,25894.208849346483,red,20967.40624
4172,38,M,1.0,72,116176,1,1,Rent,80045,8/31/2016,Wednesday,Parking Lot,13,0.0,50,Broker,0,3470.45,1,Large,15000.0,other,15380.96666
14862,56,M,1.0,85,74914,1,1,Own,20129,11/29/2015,Sunday,Parking Lot,3,0.0,50,Phone,1,0.0,1,Medium,21007.985442479712,other,30412.3845
7947,24,M,1.0,85,70346,1,0,Rent,85037,6/4/2015,Thursday,Parking Lot,3,0.0,38,Online,0,0.0,3,Medium,75659.6936532397,black,22281.26142
5097,24,F,1.0,74,116227,1,1,Rent,20110,10/20/2016,Thursday,Parking Lot,22,0.0,4,Online,0,0.0,1,Large,26760.8228820223,black,24257.30556
9648,35,F,1.0,79,106038,1,0,Rent,50026,12/9/2016,Friday,Highway,1,0.0,0,Broker,0,0.0,1,Compact,56237.593325370486,gray,15283.86094
2380,64,F,1.0,91,39922,0,1,Rent,15020,5/20/2016,Friday,Parking Lot,2,0.0,59,Broker,1,0.0,16,Compact,15000.0,black,39742.85307
15348,50,F,0.0,71,100394,1,0,Own,80016,8/28/2015,Friday,Local,9,1.0,45,Broker,1,0.0,1,Compact,15000.0,other,38633.52744
7558,49,F,1.0,31,124320,1,0,Rent,85009,1/29/2015,Thursday,Local,2,0.0,58,Broker,1,108.55,1,Medium,15000.0,red,10079.7507
4901,44,F,1.0,63,45494,1,1,Rent,20158,9/17/2015,Thursday,Highway,0,0.0,89,Broker,0,484.27,11,Medium,29256.27808177766,red,14220.49855
4592,26,F,0.0,61,56514,1,1,Rent,80011,9/15/2016,Thursday,Highway,0,0.0,89,Online,0,4670.25,6,Compact,43419.43560183077,blue,20452.49118
15282,49,F,1.0,81,91489,1,0,Own,80033,4/7/2015,Tuesday,Local,0,1.0,34,Broker,1,0.0,1,Medium,15000.0,gray,5959.997962
6603,25,F,1.0,55,30533,1,0,Rent,85070,3/17/2015,Tuesday,Parking Lot,0,0.0,94,Online,0,0.0,2,Compact,15000.0,white,17566.59673
2502,36,F,1.0,94,110965,1,0,Rent,20142,10/5/2015,Monday,Local,5,1.0,98,Phone,1,8706.64,1,Medium,15000.0,red,19939.49436
12468,50,F,1.0,59,116071,1,0,Own,80025,3/10/2016,Thursday,Local,0,1.0,49,Broker,1,0.0,1,Medium,35434.93296026845,black,20446.18651
17791,57,F,1.0,84,78454,1,0,Own,85012,6/24/2015,Wednesday,Parking Lot,0,0.0,40,Broker,1,0.0,1,Large,15000.0,blue,33407.83194
17622,64,F,1.0,87,64605,0,1,Own,50002,7/18/2016,Monday,Local,0,1.0,60,Broker,1,0.0,3,Medium,91193.49527541966,red,22602.10814
8579,57,F,1.0,68,105358,1,1,Own,20139,11/3/2016,Thursday,Local,0,0.0,82,Broker,1,0.0,5,Compact,50792.30017980468,silver,29926.75761
6463,47,M,1.0,42,95729,0,1,Own,50008,5/22/2015,Friday,Local,0,0.0,98,Phone,0,6442.69,1,Large,15000.0,silver,31129.332960000003
7755,54,M,0.0,76,65374,1,1,Own,20101,12/11/2015,Friday,Parking Lot,7,0.0,67,Broker,0,0.0,1,Large,48108.912638241454,black,31846.12094
2522,56,F,0.0,84,71963,1,0,Own,80033,11/4/2015,Wednesday,Local,3,0.0,3,Broker,0,8963.32,1,Large,15000.0,red,46882.60485
3138,70,F,1.0,85,90545,0,1,Rent,50012,6/26/2016,Sunday,Local,10,0.0,16,Phone,1,2963.08,2,Large,37249.60334135016,black,33089.66897
